ticker,price,pe,pb,roe,market_cap,sector,name,mom_12_2,error,market,gics_sector,value_pct,momentum_pct,score
ETR,106.48999786376953,27.305126,2.846413,0.10248999,49691586560.0,Utilities,Entergy Corporation,0.24470223879240494,,S&P 500,Utilities,0.5804480651731161,0.6659877800407332,0.6232179226069247
BDX,177.07000732421875,29.759666,2.0217164,0.06672,48789942272.0,Healthcare,"Becton, Dickinson and Company",0.11844529098396261,,S&P 500,Health Care,0.7556008146639511,0.4908350305498982,0.6232179226069247
FE,47.369998931884766,25.605404,2.119084,0.09491,27400284160.0,Utilities,FirstEnergy Corp.,0.14070648412855746,,S&P 500,Utilities,0.7311608961303462,0.515274949083503,0.6232179226069245
SW,46.93000030517578,51.571426,1.3647996,0.02715,24615860224.0,Consumer Cyclical,Smurfit WestRock plc,-0.00957902695180557,,S&P 500,Materials,0.9266802443991853,0.3136456211812627,0.620162932790224
AMCR,47.060001373291016,38.260162,1.8666456,0.08737001,21757988864.0,Consumer Cyclical,Amcor plc,0.07129551016513136,,S&P 500,Materials,0.7983706720977597,0.4317718940936864,0.615071283095723
FCX,68.18000030517578,34.09,4.7465887,0.14755,95452004352.0,Basic Materials,"Freeport-McMoRan, Inc.",0.42574953093257184,,S&P 500,Materials,0.38696537678207743,0.8431771894093686,0.615071283095723
BALL,63.130001068115234,18.193083,3.000618,0.17151,16808142848.0,Consumer Cyclical,Ball Corporation,0.25091198222665856,,S&P 500,Materials,0.54989816700611,0.6782077393075356,0.6140529531568228
FRT,117.91000366210938,24.615868,3.1966927,0.12550999,10248548352.0,Real Estate,Federal Realty Investment Trust,0.28754182207081236,,S&P 500,Real Estate,0.5193482688391038,0.7026476578411406,0.6109979633401221
DUK,123.9000015258789,18.575712,1.7970586,0.098570004,96605102080.0,Utilities,Duke Energy Corporation (Holdin,0.0507015643605766,,S&P 500,Utilities,0.8085539714867618,0.40529531568228105,0.6069246435845215
DGX,238.5,25.05252,3.4905672,0.14602,26324045824.0,Healthcare,Quest Diagnostics Incorporated,0.3053257877301174,,S&P 500,Health Care,0.4867617107942973,0.7270875763747454,0.6069246435845214
NEM,105.43000030517578,13.162297,3.167969,0.25905,111090778112.0,Basic Materials,Newmont Corporation,0.2729351004781555,,S&P 500,Materials,0.5234215885947047,0.6883910386965377,0.6059063136456212
ADI,377.30999755859375,56.147324,5.4467106,0.09639,183782817792.0,Technology,"Analog Devices, Inc.",0.4816044407432234,,S&P 500,Information Technology,0.340122199592668,0.8716904276985743,0.6059063136456211
JBHT,267.25,38.7881,6.862946,0.18448,25094774784.0,Industrials,"J.B. Hunt Transport Services, I",0.8864253677883802,,S&P 500,Industrials,0.25865580448065173,0.9511201629327902,0.6048879837067209
HIG,144.50999450683594,9.918325,2.033891,0.22061001,39614644224.0,Financial Services,"The Hartford Insurance Group, I",0.09130235607930604,,S&P 500,Financials,0.7535641547861507,0.45621181262729127,0.6048879837067209
FTV,60.869998931884766,32.5508,3.0392451,0.07318,18556891136.0,Technology,Fortive Corporation,0.24262552790313108,,S&P 500,Industrials,0.5437881873727087,0.6619144602851323,0.6028513238289206
HRL,25.09000015258789,29.517647,1.7369332,0.05831,13806630912.0,Consumer Defensive,Hormel Foods Corporation,0.034682225514281795,,S&P 500,Consumer Staples,0.8268839103869654,0.3788187372708758,0.6028513238289206
AEE,108.2699966430664,19.196808,2.1896172,0.11943,29973819392.0,Utilities,Ameren Corporation,0.12981659081500796,,S&P 500,Utilities,0.7046843177189409,0.4989816700610998,0.6018329938900203
TXT,87.88999938964844,16.67742,1.9095728,0.12126,15283101696.0,Industrials,Textron Inc.,0.06458622437572292,,S&P 500,Industrials,0.7820773930753564,0.4195519348268839,0.6008146639511202
JPM,356.29998779296875,15.384283,2.6788063,0.17789,947116638208.0,Financial Services,JP Morgan Chase & Co.,0.18943664696732454,,S&P 500,Financials,0.6109979633401221,0.5845213849287169,0.5977596741344195
CNP,40.66999816894531,24.208332,2.2857304,0.09825,26790152192.0,Utilities,"CenterPoint Energy, Inc (Holdin",0.1334049681870082,,S&P 500,Utilities,0.6904276985743381,0.5030549898167006,0.5967413441955194
ATO,171.97999572753906,20.522673,1.9255012,0.096,29062651904.0,Utilities,Atmos Energy Corporation,0.0577613625663429,,S&P 500,Utilities,0.7800407331975561,0.41140529531568226,0.5957230142566192
FLEX,122.6500015258789,46.99234,8.237072,0.18378,45307277312.0,Technology,Flex Ltd.,1.121409963929696,,S&P 500,Information Technology,0.21588594704684316,0.9714867617107943,0.5936863543788187
RTX,223.25,39.2355,4.5329947,0.12274,300886982656.0,Industrials,RTX Corporation,0.37258065238136107,,S&P 500,Industrials,0.39918533604887985,0.7861507128309573,0.5926680244399185
TDY,687.52001953125,33.117535,2.9189098,0.09154,31852208128.0,Technology,Teledyne Technologies Incorpora,0.21814673456743439,,S&P 500,Information Technology,0.5621181262729125,0.6232179226069247,0.5926680244399185
AES,14.699999809265137,5.5056176,2.3717327,0.095740005,10483418112.0,Utilities,The AES Corporation,0.1381672272436183,,S&P 500,Utilities,0.6741344195519348,0.5091649694501018,0.5916496945010183
SNA,414.67999267578125,21.364244,3.55016,0.17932,21450203136.0,Industrials,Snap-On Incorporated,0.28806468599752844,,S&P 500,Industrials,0.47861507128309577,0.7046843177189409,0.5916496945010183
CTVA,76.86000061035156,47.739132,2.0376997,0.04256,51280687104.0,Basic Materials,"Corteva, Inc.",0.07121402969859192,,S&P 500,Materials,0.7515274949083504,0.42973523421588594,0.5906313645621182
SYF,78.66999816894531,8.127066,1.6841135,0.20786,25596923904.0,Financial Services,Synchrony Financial,0.004994779049178444,,S&P 500,Financials,0.8472505091649695,0.3340122199592668,0.5906313645621182
HSIC,88.2300033569336,26.10355,3.1277254,0.088549994,10050876416.0,Healthcare,"Henry Schein, Inc.",0.23239433376571683,,S&P 500,Health Care,0.5336048879837068,0.6456211812627292,0.589613034623218
CASY,832.4199829101562,44.657726,7.7738137,0.19153,30803628032.0,Consumer Cyclical,"Caseys General Stores, Inc.",0.7674364570281058,,S&P 500,Consumer Staples,0.23014256619144602,0.9470468431771895,0.5885947046843177
NEE,84.5999984741211,19.315067,3.088944,0.11677,176442212352.0,Utilities,"NextEra Energy, Inc.",0.23179163383861234,,S&P 500,Utilities,0.5356415478615071,0.6415478615071283,0.5885947046843176
UAL,129.1199951171875,12.439305,2.5100598,0.23252001,41908441088.0,Industrials,"United Airlines Holdings, Inc.",0.1555238269624255,,S&P 500,Industrials,0.6334012219959266,0.5437881873727087,0.5885947046843176
GOOGL,357.75,18.178354,7.02904,0.48676,4375259381760.0,Communication Services,Alphabet Inc.,0.6774503294551553,,S&P 500,Communication Services,0.24847250509164964,0.9287169042769857,0.5885947046843176
GOOG,356.6199951171875,18.084179,7.0068374,0.48676,4361439412224.0,Communication Services,Alphabet Inc.,0.6750266499594562,,S&P 500,Communication Services,0.2505091649694501,0.9266802443991853,0.5885947046843176
BMY,64.1500015258789,14.037199,5.8718534,0.46598998,131040149504.0,Healthcare,Bristol-Myers Squibb Company,0.4507160488680293,,S&P 500,Health Care,0.3197556008146639,0.8553971486761711,0.5875763747454175
RNO.PA,28.1299991607666,,0.39677835,0.050029997,8140073472.0,Consumer Cyclical,RENAULT,-0.12701523694434314,,Euronext 100,n/a (Paris),0.9959266802443992,0.17718940936863545,0.5865580448065173
SAN.PA,74.86000061035156,23.104939,1.2959405,0.05709,89687425024.0,Healthcare,SANOFI,-0.06931456986224882,,Euronext 100,n/a (Paris),0.9429735234215886,0.22810590631364563,0.5855397148676171
COF,220.0,12.208656,1.3106239,0.09031,134970007552.0,Financial Services,Capital One Financial Corporati,-0.06913243393118296,,S&P 500,Financials,0.9409368635437881,0.23014256619144602,0.5855397148676171
CSX,50.70000076293945,29.823528,6.669297,0.24357,93920477184.0,Industrials,CSX Corporation,0.5659329301970564,,S&P 500,Industrials,0.2729124236252546,0.8981670061099797,0.5855397148676171
MU,881.469970703125,20.203299,9.880289,0.66638,995526180864.0,Technology,"Micron Technology, Inc.",5.926737469822874,,S&P 500,Information Technology,0.1731160896130346,0.9979633401221996,0.5855397148676171
UHS,169.72000122070312,7.007432,1.3475189,0.20948,10274229248.0,Healthcare,"Universal Health Services, Inc.",-0.06839271115760615,,S&P 500,Health Care,0.9327902240325866,0.23421588594704684,0.5835030549898167
HEIA.AS,77.5199966430664,22.93491,2.400743,0.121309996,43056914432.0,Consumer Defensive,HEINEKEN,0.13826084704088593,,Euronext 100,n/a (Amsterdam),0.6537678207739308,0.5112016293279023,0.5824847250509165
ALGN,169.0800018310547,30.301077,2.8561294,0.10155,12011418624.0,Healthcare,"Align Technology, Inc.",0.19160323796733936,,S&P 500,Health Care,0.5763747454175152,0.5885947046843177,0.5824847250509164
DLR,192.55999755859375,243.74683,2.6682186,0.02912,72465948672.0,Real Estate,"Digital Realty Trust, Inc.",0.15701761647860724,,S&P 500,Real Estate,0.615071283095723,0.5458248472505092,0.5804480651731161
NI,43.380001068115234,22.83158,2.1530674,0.085489996,20798074880.0,Utilities,NiSource Inc,0.07925082741070333,,S&P 500,Utilities,0.7169042769857434,0.4439918533604888,0.5804480651731161
GALP.LS,19.790000915527344,12.605096,3.01493,0.24875,15952808960.0,Energy,GALP ENERGIA-NOM,0.20586392089859218,,Euronext 100,n/a (Lisbon),0.5478615071283095,0.6109979633401222,0.5794297352342159
CMI,643.97998046875,33.229103,6.900697,0.21114,88862203904.0,Industrials,Cummins Inc.,0.6089924097769666,,S&P 500,Industrials,0.25458248472505096,0.9022403258655805,0.5784114052953158
