ticker,fetched_at,price,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,market_cap,peg,mom_12_2,error,currency,avg_volume,country,target_low_price,target_mean_price,target_high_price,recommendation_key,num_analyst_opinions,free_cashflow,total_cash,total_debt,quick_ratio,operating_margin,financial_currency,buyback_avg_3y,div_avg_3y,sector_median_pe,industry_median_pe,industry_count,peer_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,sector_median_pb,analyst_gap,explication,passes_filter
8110.TW,2026-09-03,44.70000076293945,Technology,Semiconductor Equipment & Materials,"Walton Advanced Engineering, Inc.",8.142077,1.1943889,5.49,0.18642001,0.36074,9.788,23008872448.0,0.49,1.6121944071994907,,TWD,9034113.0,Taiwan,,,,none,,,,,,,,,,24.234068,40.718918,39,40.718918,0.6294326241134752,0.9432624113475178,0.2730496453900709,1.2322695035460993,50.17668086879433,275.4699779696809,5.162639222996875,0.18160768933520066,3.1429535,,P/E de 8.1 nettement sous la mediane de l'industrie (40.7) ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,False
INVA,2026-09-02,21.31999969482422,Healthcare,Biotechnology,"Innoviva, Inc.",4.9466357,1.2557427,4.31,0.36676,0.8119,26.859,1540273792.0,0.3,0.1380822168637627,,USD,767107.0,United States,18.0,35.0,46.0,buy,4.0,,,,,,,,,23.3923085,20.7848435,28,20.7848435,0.8951612903225806,0.9838709677419355,0.33064516129032256,1.3608870967741933,28.285825327620962,121.91190716204633,4.718194601646381,0.10175650651128215,2.97182475,0.6416510553936277,P/E de 4.9 nettement sous la mediane de l'industrie (20.8) ; ROE (37%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
INDU-C.ST,2026-09-02,525.2000122070312,Financial Services,Asset Management,AB Industrivärden (publ),3.608878,1.0113088,145.53,0.32275,0.99306,2.799,226833416192.0,5.47,0.4689179897539268,,SEK,384382.0,Sweden,464.0,482.0,500.0,underperform,2.0,,,,,,,,,13.980483,14.231216499999999,124,14.231216499999999,0.935,0.9616666666666667,0.045,1.4466666666666668,20.587826536666665,2996.1463958810996,4.704772136791257,0.1924712877471899,1.5007997,-0.08225440061490707,P/E de 3.6 nettement sous la mediane de l'industrie (14.2) ; ROE (32%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
2323.TW,2026-09-03,11.0,Technology,Computer Hardware,CMC Magnetics Corporation,3.642384,0.59614134,3.02,0.17747,0.42671,41.236,10784548864.0,,0.2166666454739041,,TWD,9611444.0,Taiwan,,,,none,,,,,,,,,,24.234068,17.581669,69,17.581669,0.5975177304964538,0.9698581560283688,0.6117021276595744,1.1382978723404253,20.013176414893614,60.43979277297871,4.494526615725338,0.18160768933520066,3.1429535,,P/E de 3.6 nettement sous la mediane de l'industrie (17.6) ; marge superieure a la mediane du secteur ; momentum (+22%) superieur au secteur (+18%),False
PXT.TO,2026-09-02,28.89999961853028,Energy,Oil & Gas E&P,Parex Resources Inc.,3.4945583,0.85177636,8.27,0.27035,0.54964,34.663,2779609344.0,,0.647792719236514,,CAD,940626.0,Canada,29.0,31.08333,37.0,buy,6.0,,,,,,,,,15.8420275,14.332589,47,14.332589,0.8333333333333334,0.96,0.3466666666666667,1.32,18.91901748,156.4602745596,4.413850402242907,0.44640223635905524,2.0878667,0.07554776506189986,P/E de 3.5 nettement sous la mediane de l'industrie (14.3) ; ROE (27%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
2451.TW,2026-09-03,294.0,Technology,Computer Hardware,"Transcend Information, Inc.",5.1112657,3.2962596,57.52,0.8787,0.57185,0.071,126815625216.0,,1.789047048414734,,TWD,6771425.0,Taiwan,300.0,346.5,393.0,none,2.0,,,,,,,,,24.234068,17.581669,69,17.581669,0.9698581560283688,0.9893617021276596,0.0017730496453900709,1.4818262411347518,26.052978487145392,1498.567322580603,4.097167763879602,0.18160768933520066,3.1429535,0.1785714285714286,P/E de 5.1 nettement sous la mediane de l'industrie (17.6) ; ROE (88%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
RTW.L,2026-09-02,2.424999952316284,Financial Services,Asset Management,RTW Biotech Opportunities Ltd,3.8492062,0.98818254,0.63,0.32739,7.0918403,,781265280.0,,0.6363636645122297,,USD,395435.0,United States,,,,none,,,,,,,,,,13.980483,14.231216499999999,124,14.231216499999999,0.9383333333333334,0.985,0.5391666666666667,1.3306250000000002,18.9364124553125,11.929939846846874,3.9195629201772846,0.1924712877471899,1.5007997,,P/E de 3.8 nettement sous la mediane de l'industrie (14.2) ; ROE (33%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
PLAB,2026-09-02,27.815000534057617,Technology,Semiconductor Equipment & Materials,"Photronics, Inc.",9.898577,1.263629,2.81,0.13769001,0.19045,0.223,1640075264.0,2.64,0.2261437234934646,,USD,1427155.0,United States,39.0,41.33333,44.0,strong_buy,3.0,,,,,,,,,24.234068,40.718918,39,40.718918,0.4698581560283688,0.75,0.01950354609929078,1.1675531914893618,47.54150266489362,133.59162248835108,3.802862481515218,0.18160768933520066,3.1429535,0.4860085999060142,P/E de 9.9 nettement sous la mediane de l'industrie (40.7) ; marge superieure a la mediane du secteur ; dette plus faible que la mediane du secteur,False
4967.TW,2026-09-03,276.0,Technology,Computer Hardware,Team Group Inc.,4.5650015,2.3959374,60.46,0.76408994,0.21074,55.09,27204323328.0,,2.331871858053799,,TWD,4885774.0,Taiwan,,,,none,,,,,,,,,,24.234068,17.581669,69,17.581669,0.9609929078014184,0.7925531914893617,0.7287234042553191,1.24645390070922,21.914739906028373,1324.9651747184755,3.8005984591249113,0.18160768933520066,3.1429535,,P/E de 4.6 nettement sous la mediane de l'industrie (17.6) ; ROE (76%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
LNC,2026-09-02,44.08520126342773,Financial Services,Insurance - Life,Lincoln National Corporation,3.714002,0.81434166,11.87,0.22587,0.12169,63.803,8439993856.0,1.01,0.1058723977653375,,USD,1920511.0,United States,35.0,47.91667,60.0,hold,12.0,,,,,,,,,13.980483,17.342106,27,17.342106,0.835,0.19833333333333333,0.8,1.0170833333333333,17.638366977500002,209.367416022925,3.749154138411802,0.1924712877471899,1.5007997,0.08691054201335335,"P/E de 3.7 nettement sous la mediane de l'industrie (17.3) ; ROE (23%) dans le haut du secteur ; cible analystes (12 analystes, moyenne 47.92) +9% au-dessus du prix actuel",False
GAM,2026-09-02,66.93000030517578,Financial Services,Asset Management,"General American Investors Company, Inc.",4.1988707,0.9158081,15.94,0.20917,15.4234705,0.078,1595083264.0,,0.1908664657509851,,USD,23965.0,United States,,,,none,,,,,,,,,,13.980483,14.231216499999999,124,14.231216499999999,0.8,0.995,0.01,1.39625,19.870336038124996,316.7331564477124,3.732304721403371,0.1924712877471899,1.5007997,,P/E de 4.2 nettement sous la mediane de l'industrie (14.2) ; ROE (21%) dans le haut du secteur ; marge superieure a la mediane du secteur,False
