ticker,error,price,market_cap,sector,industry,name,pe,pb,eps,roe,margin,debt_eq,mom_12_2,sector_median_pe,roe_pct,margin_pct,debt_pct,quality_multiplier,fair_pe,fair_value,valuation_gap,sector_momentum,passes_filter
ASO,,47.349998474121094,2936569856.0,Consumer Cyclical,Specialty Retail,"Academy Sports and Outdoors, In",8.455357,1.417792,5.6,0.18847999,0.0624,91.982,-0.10414451707246664,23.5387595,0.5,0.5833333333333334,0.5833333333333334,0.9999999999999999,23.538759499999998,131.81705319999998,1.783887168909708,0.06520875060623532,True
ACAD,,28.450000762939453,4871660544.0,Healthcare,Biotechnology,ACADIA Pharmaceuticals Inc.,12.931818,3.7365382,2.2,0.35743,0.33416,4.557,-0.004617119389824564,27.978724,0.631578947368421,0.8947368421052632,0.15789473684210525,1.25,34.973405,76.941491,1.7044460083188557,0.17375004291534424,True
ADMA,,10.0600004196167,2253285888.0,Healthcare,Biotechnology,ADMA Biologics Inc,13.594595,5.9880958,0.74,0.43300998,0.32431,110.673,-0.5098493669779609,27.978724,0.6842105263157895,0.8421052631578947,0.5263157894736842,1.1710526315789473,32.76455836842105,24.245773192631574,1.4101165190165443,0.17375004291534424,True
APA,,36.529998779296875,12912267264.0,Energy,Oil & Gas E&P,APA Corporation,8.081859,2.116209,4.52,0.26217,0.18313,61.314,0.66329085344353,13.9697265,1.0,1.0,0.5,1.375,19.2083739375,86.82185019749998,1.376727432214032,0.505771709741626,True
ADP,,273.510009765625,108655337472.0,Technology,Software - Application,"Automatic Data Processing, Inc.",24.685019,18.040367,11.08,0.72239,0.20109,89.702,-0.09927672776256635,41.30662,0.9354838709677419,0.6774193548387096,0.8387096774193549,1.1774193548387097,48.635213870967746,538.8781696903226,0.9702319858497892,0.3152875483628228,True
ACGL,,99.29000091552734,33857890304.0,Financial Services,Insurance - Diversified,Arch Capital Group Ltd.,7.7509756,1.4533505,12.81,0.19936001,0.24396999,17.836,0.09832841822385885,12.895105,0.7931034482758621,0.27586206896551724,0.13793103448275862,1.1810344827586206,15.229563663793101,195.09071053318962,0.9648575761336367,0.21317944156180424,True
CINF,,179.0399932861328,27478708224.0,Financial Services,Insurance - Property & Casualty,Cincinnati Financial Corporatio,8.397748,1.6474506,21.32,0.21484,0.23843001,5.255,0.18268317648437726,12.895105,0.896551724137931,0.2413793103448276,0.034482758620689655,1.25,16.118881249999998,343.65454824999995,0.9194289607729618,0.21317944156180424,True
CALM,,84.8499984741211,3980914176.0,Consumer Defensive,Farm Products,"Cal-Maine Foods, Inc.",12.914763,1.5141511,6.57,0.122200005,0.10876001,,-0.21864723119424023,22.888151999999998,0.5,0.8333333333333334,0.5833333333333334,1.0625,24.318661499999997,159.773606055,0.8830124800029346,0.16473142283086928,True
ALRM,,56.290000915527344,2784136192.0,Technology,Software - Application,"Alarm.com Holdings, Inc.",23.356846,3.2331994,2.41,0.14837,0.12357,62.706,-0.06617774172658675,41.30662,0.4838709677419355,0.45161290322580644,0.5483870967741935,0.967741935483871,39.974148387096776,96.33769761290324,0.7114531186004818,0.3152875483628228,True
CNXN,,86.5999984741211,2185619456.0,Technology,Electronics & Computer Distribution,"PC Connection, Inc.",22.729658,2.2942219,3.81,0.104320005,0.03208,0.792,0.3152875483628228,41.30662,0.3225806451612903,0.06451612903225806,0.03225806451612903,0.9193548387096774,37.97544096774194,144.6864300870968,0.6707440258250561,0.3152875483628228,True
CARG,,36.380001068115234,3281006592.0,Consumer Cyclical,Auto & Truck Dealerships,"CarGurus, Inc.",19.14737,13.7907505,1.9,0.5848,0.15889,79.28,0.047398938632102317,23.5387595,1.0,0.8333333333333334,0.5,1.3333333333333333,31.38501266666667,59.631524066666664,0.6391292555219279,0.06520875060623532,True
ADEA,,28.309999465942383,3122031104.0,Technology,Software - Application,Adeia Inc.,27.485437,6.6895084,1.03,0.27878,0.26053,82.707,0.786568813927444,41.30662,0.6451612903225806,0.7741935483870968,0.7741935483870968,1.0725806451612903,44.30468112903226,45.63382156290323,0.6119329715213109,0.3152875483628228,True
CDNA,,44.810001373291016,2318210560.0,Healthcare,Diagnostics & Research,"CareDx, Inc.",21.858538,5.420346,2.05,0.29487,0.24234,4.522,2.1998535558368637,27.978724,0.5789473684210527,0.7894736842105263,0.10526315789473684,1.2105263157894737,33.868981684210524,69.43141245263156,0.5494624040341165,0.17375004291534424,True
ACT,,48.66999816894531,6794368512.0,Financial Services,Insurance - Specialty,"Enact Holdings, Inc.",10.355319,1.2778302,4.7,0.12926,0.54486,13.939,0.277286241395196,12.895105,0.5517241379310345,0.896551724137931,0.06896551724137931,1.2327586206896552,15.896551853448276,74.7137937112069,0.5351098525185329,0.21317944156180424,True
AMKR,,54.15999984741211,13424775168.0,Technology,Semiconductor Equipment & Materials,"Amkor Technology, Inc.",24.178572,2.8880713,2.24,0.12514,0.07448,57.054,1.079373499295695,41.30662,0.3870967741935484,0.25806451612903225,0.4838709677419355,0.8870967741935484,36.64296935483871,82.08025135483872,0.5155142464196427,0.3152875483628228,True
COLM,,57.279998779296875,2929344512.0,Consumer Cyclical,Apparel Manufacturing,Columbia Sportswear Company,14.955613,1.851744,3.83,0.12658,0.06047,28.799,0.08301856258036833,23.5387595,0.25,0.5,0.16666666666666666,0.9583333333333334,22.55797785416667,86.39705518145834,0.5083285094741561,0.06520875060623532,True
ANDE,,67.94999694824219,2313972992.0,Consumer Defensive,Food Distribution,"The Andersons, Inc.",13.455444,1.7365192,5.05,0.12159,0.016210001,66.35,0.7556578160641223,22.888151999999998,0.4166666666666667,0.08333333333333333,0.4166666666666667,0.8750000000000001,20.027133,101.13702165,0.48840362313829844,0.16473142283086928,True
AAPL,,312.4100036621094,4559367831552.0,Technology,Consumer Electronics,Apple Inc.,35.704,42.44701,8.75,1.4875101,0.27618998,78.445,0.3344703125939317,41.30662,0.967741935483871,0.8064516129032258,0.7419354838709677,1.25,51.633275000000005,451.79115625000003,0.44614817372698456,0.3152875483628228,True
BVS,,13.979999542236328,1175604480.0,Healthcare,Medical Devices,Bioventus Inc.,19.690142,5.0947523,0.71,0.25684,0.09361,89.561,0.779729717103472,27.978724,0.5263157894736842,0.47368421052631576,0.47368421052631576,1.013157894736842,28.346865105263156,20.12627422473684,0.4396477027006622,0.17375004291534424,True
CHRW,,146.66000366210938,17137405952.0,Industrials,Integrated Freight & Logistics,"C.H. Robinson Worldwide, Inc.",29.332,10.552598,5.0,0.37123,0.03726,121.188,0.16601422634636864,38.811596,0.8888888888888888,0.2222222222222222,0.7777777777777778,1.0555555555555556,40.96779577777778,204.8389788888889,0.3966928526799871,0.10291152301310547,True
CENTA,,40.599998474121094,2540373504.0,Consumer Defensive,Packaged Foods,Central Garden & Pet Company,13.999999,1.6121986,2.9,0.10752,0.05422,85.846,0.14774451251793597,22.888151999999998,0.2916666666666667,0.4583333333333333,0.7083333333333334,0.8333333333333334,19.07346,55.313034,0.36239005120301093,0.16473142283086928,True
ACIW,,55.220001220703125,5613751808.0,Technology,Software - Infrastructure,"ACI Worldwide, Inc.",29.216932,3.730073,1.89,0.13817,0.11507,56.975,0.16170220068230123,41.30662,0.45161290322580644,0.3870967741935484,0.45161290322580644,0.9596774193548387,39.64103048387097,74.92154761451613,0.35678279533297963,0.3152875483628228,True
ADSK,,242.47000122070312,51196387328.0,Technology,Software - Application,"Autodesk, Inc.",35.089725,16.042742,6.91,0.50396,0.19488001,85.419,-0.2557992123808074,41.30662,0.8387096774193549,0.6451612903225806,0.8064516129032258,1.1290322580645162,46.63650645161291,322.2582595806452,0.3290644531622553,0.3152875483628228,True
AMZN,,272.260009765625,2936681791488.0,Consumer Cyclical,Internet Retail,"Amazon.com, Inc.",21.921095,5.322152,12.42,0.30558002,0.1744,45.617,0.1859388059924263,23.5387595,0.6666666666666666,0.9166666666666666,0.3333333333333333,1.2291666666666667,28.933058552083338,359.34858721687505,0.31987282130130024,0.06520875060623532,True
ANIP,,82.62999725341797,1878561408.0,Healthcare,Drug Manufacturers - Specialty & Generic,"ANI Pharmaceuticals, Inc.",20.402468,3.1369348,4.05,0.18324,0.099759996,112.077,-0.15251339183134194,27.978724,0.42105263157894735,0.5263157894736842,0.5789473684210527,0.9473684210526315,26.506159578947365,107.34994629473682,0.29916434543142034,0.17375004291534424,True
CASH,,88.62999725341797,1870982272.0,Financial Services,Banks - Regional,"Pathward Financial, Inc.",11.190656,2.1898549,7.92,0.21176,0.23382999,,0.11314804787526977,12.895105,0.8275862068965517,0.20689655172413793,0.5172413793103449,1.086206896551724,14.006751982758617,110.93347570344825,0.2516470624077578,0.21317944156180424,True
ADUS,,118.77999877929688,2217001984.0,Healthcare,Medical Care Facilities,Addus HomeCare Corporation,20.408934,1.8924559,5.82,0.09706,0.071329996,9.478,0.002691718267925358,27.978724,0.2631578947368421,0.3157894736842105,0.21052631578947367,0.9078947368421053,25.401736263157897,147.83810505157896,0.2446380415129863,0.17375004291534424,True
CEG,,261.1000061035156,93239336960.0,Utilities,Utilities - Independent Power Producers,Constellation Energy Corporatio,23.045013,2.825666,11.33,0.16104999,0.12693,66.428,-0.14340783676401314,22.490983,1.0,0.5,0.5,1.25,28.11372875,318.5285467375,0.21994844615674292,0.017470061530276693,True
CENT,,46.540000915527344,2912044032.0,Consumer Defensive,Packaged Foods,Central Garden & Pet Company,16.048275,1.848072,2.9,0.10752,0.05422,85.846,0.1817183331438026,22.888151999999998,0.2916666666666667,0.4583333333333333,0.7083333333333334,0.8333333333333334,19.07346,55.313034,0.18850521942180865,0.16473142283086928,True
CCEP,,108.25,47861473280.0,Consumer Defensive,Beverages - Non-Alcoholic,Coca-Cola Europacific Partners ,21.267189,5.025476,5.09,0.23544,0.09349,139.064,0.2647169219876462,22.888151999999998,0.75,0.75,0.8333333333333334,1.1041666666666667,25.2723345,128.636182605,0.1883250125173208,0.16473142283086928,True
BPOP,,176.13999938964844,11249476608.0,Financial Services,Banks - Regional,"Popular, Inc.",12.006817,1.7547495,14.67,0.15647,0.31645,,0.4272687949107099,12.895105,0.6551724137931034,0.6206896551724138,0.5172413793103449,1.1034482758620687,14.22908137931034,208.7406238344827,0.185083595763599,0.21317944156180424,True
CNOB,,33.09000015258789,1665083264.0,Financial Services,Banks - Regional,"ConnectOne Bancorp, Inc.",10.37304,1.0960946,3.19,0.102460004,0.36089,,0.3135311372601395,12.895105,0.27586206896551724,0.6896551724137931,0.5172413793103449,0.9310344827586208,12.005787413793104,38.29846185,0.15740289130838137,0.21317944156180424,True
