ticker,name,sector,industry,pilier_bilan,pilier_rendement_capital,pilier_cash,pilier_marges,pilier_discipline,note_qualite_20,note_qualite_n_piliers,note_qualite_low_confidence,pilier_valorisation,pilier_momentum,note_perspective_20,note_perspective_n_piliers,note_perspective_low_confidence
DOW.AX,Downer EDI Limited,Industrials,Engineering & Construction,9.0,8.5,,4.4,,7.3,3,False,9.0,4.4,6.7,2,False
DRR.AX,Deterra Royalties Limited,Basic Materials,Other Industrial Metals & Mining,2.7,20.0,,19.7,,14.1,3,False,14.4,6.3,10.4,2,False
DXS.AX,DEXUS,Real Estate,REIT - Office,16.5,7.7,,16.1,,13.4,3,False,20.0,3.5,11.8,2,False
EBO.AX,EBOS Group Limited,Healthcare,Medical Distribution,5.9,11.2,,9.6,,8.9,3,False,12.2,2.0,7.1,2,False
EDV.AX,Endeavour Group Limited,Consumer Defensive,Beverages - Wineries & Distilleries,2.8,2.4,,2.5,,2.6,3,False,0.0,5.2,2.6,2,False
EMR.AX,Emerald Resources NL,Basic Materials,Gold,17.9,18.6,,19.0,,18.5,3,False,5.5,12.5,9.0,2,False
EOS.AX,Electro Optic Systems Holdings Limited,Industrials,Aerospace & Defense,15.6,0.7,,0.5,,5.6,3,False,,5.8,5.8,1,True
EVN.AX,Evolution Mining Limited,Basic Materials,Gold,12.8,17.7,,16.5,,15.7,3,False,2.1,12.5,7.3,2,False
EVT.AX,EVT Limited,Communication Services,Entertainment,4.0,6.9,,6.7,,5.9,3,False,0.0,15.4,7.7,2,False
FBU.AX,Fletcher Building Limited,Basic Materials,Building Materials,8.1,7.5,,7.2,,7.6,3,False,8.3,7.6,8.0,2,False
FLT.AX,Flight Centre Travel Group Limited,Consumer Cyclical,Travel Services,6.5,11.4,,9.5,,9.1,3,False,10.0,11.1,10.6,2,False
FMG.AX,Fortescue Ltd,Basic Materials,Other Industrial Metals & Mining,11.7,13.5,,14.5,,13.2,3,False,14.8,4.0,9.4,2,False
FPH.AX,Fisher & Paykel Healthcare Corporation Limited,Healthcare,Medical Instruments & Supplies,15.4,17.3,,17.4,,16.7,3,False,0.0,9.5,4.8,2,False
FRW.AX,Freightways Group Limited,Industrials,Integrated Freight & Logistics,3.8,14.2,,9.4,,9.1,3,False,3.2,5.4,4.3,2,False
GDG.AX,Generation Development Group Limited,Financial Services,Asset Management,17.1,2.3,,3.0,,7.5,3,False,0.0,0.1,0.0,2,False
GGP.AX,Greatland Resources Limited,Basic Materials,Gold,19.0,19.6,,18.5,,19.0,3,False,20.0,16.1,18.0,2,False
GMD.AX,Genesis Minerals Limited,Basic Materials,Gold,14.9,18.8,,18.1,,17.3,3,False,8.3,12.8,10.6,2,False
GMG.AX,Goodman Group,Real Estate,REIT - Diversified,18.5,15.1,,17.6,,17.1,3,False,0.0,3.6,1.8,2,False
GNE.AX,Genesis Energy Limited,Utilities,Utilities - Independent Power Producers,18.2,2.4,,2.7,,7.8,3,False,0.0,11.2,5.6,2,False
GPT.AX,The GPT Group,Real Estate,REIT - Diversified,16.0,13.7,,19.4,,16.4,3,False,14.6,5.3,10.0,2,False
GQG.AX,GQG Partners Inc.,Financial Services,Asset Management,17.4,19.9,,18.3,,18.5,3,False,20.0,1.8,10.9,2,False
HUB.AX,HUB24 Limited,Financial Services,Capital Markets,15.8,16.8,,9.2,,13.9,3,False,0.0,0.8,0.4,2,False
HVN.AX,Harvey Norman Holdings Limited,Consumer Cyclical,Specialty Retail,11.8,10.1,,17.7,,13.2,3,False,18.2,1.3,9.8,2,False
IAG.AX,Insurance Australia Group Limited,Financial Services,Insurance - Property & Casualty,10.5,13.0,,3.0,,8.8,3,False,0.0,4.3,2.2,2,False
IFL.AX,,,,,,,,,,0,True,,,,0,True
IFT.AX,Infratil Limited,Industrials,Conglomerates,6.5,3.8,,17.0,,9.1,3,False,0.0,10.1,5.0,2,False
