asset_class,ticker,strategy,CAGR,Vol_annualisee,Sharpe,Max_Drawdown,Profit_Factor,Win_Rate,Nb_Trades,Rendement_total
equity,MSFT,"Donchian Breakout (Turtle 20/10, stop 2xATR)",-0.017856500225149285,0.23820426303452977,0.042745964964536594,-0.5626027624653972,1.0184199525298399,0.3564356435643564,101,-0.14989463560942118
equity,MSFT,RSI(2) Mean Reversion (Connors),0.020287724668394347,0.12553572550668457,0.22354426147879025,-0.23751405282264304,1.3696438536175555,0.6607142857142857,56,0.19844302082126597
equity,QQQ,Buy & Hold,0.2027625261208179,0.23465197190877224,0.906747050418556,-0.3511872227135173,,,0,4.280337957474586
equity,QQQ,Golden Cross (SMA50/SMA200),0.13532491108051858,0.21938079367399405,0.6901359613221194,-0.2940825864716825,5.211262019880428,0.5555555555555556,9,2.139050703876236
equity,QQQ,"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.011964598919402825,0.1934970071686929,0.1582968390507088,-0.30703138900594107,1.1201122457896895,0.38095238095238093,105,0.11315349538055686
equity,QQQ,RSI(2) Mean Reversion (Connors),0.0401825050837723,0.0737041141204962,0.5728225275176123,-0.10895569149389006,1.725643491554523,0.7761194029850746,67,0.4262918862705045
equity,SPY,Buy & Hold,0.15184229148598827,0.18731190550733973,0.8508797315008119,-0.33717269301235486,,,0,2.5754901446477656
equity,SPY,Golden Cross (SMA50/SMA200),0.03347816941639681,0.1837630708381661,0.2717097908343748,-0.4288659075902962,1.8768938831710287,0.4444444444444444,9,0.3455435260972708
equity,SPY,"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.04954151949886265,0.15200349871546467,0.3948889057514701,-0.2106078141005142,1.466076071030751,0.42424242424242425,99,0.5462143869461098
equity,SPY,RSI(2) Mean Reversion (Connors),0.038817525802919306,0.05748155368290619,0.6931864037654379,-0.11519955764753653,1.9617971334060111,0.8,70,0.4095111035317438
forex,EURUSD_X,Buy & Hold,-0.0025285068809300926,0.07105805714154786,0.0010032650141843483,-0.2329188740857292,,,0,-0.022559936314735518
forex,EURUSD_X,Golden Cross (SMA50/SMA200),-0.006602343319994319,0.06412583250586873,-0.06798924918402179,-0.29229883950378655,0.8471262705833104,0.35714285714285715,14,-0.057956911174431136
forex,EURUSD_X,"Donchian Breakout (Turtle 20/10, stop 2xATR)",-0.03714139630722291,0.06363379982477006,-0.5442524034930204,-0.33947653690128365,0.5901988790216921,0.2982456140350877,114,-0.2890339336906358
forex,EURUSD_X,RSI(2) Mean Reversion (Connors),-0.009303938930897426,0.020080521583023724,-0.44080885811254167,-0.08177713818556798,0.5151324509362798,0.5526315789473685,38,-0.08079763579745303
forex,GBPUSD_X,Buy & Hold,0.0022849292868707405,0.08582128595939795,0.06867545852651848,-0.25202215279041873,,,0,0.020783619122852093
forex,GBPUSD_X,Golden Cross (SMA50/SMA200),-0.030405820222964675,0.07800221241504127,-0.3443762535707243,-0.2700263572856434,0.37785912673461675,0.16666666666666666,18,-0.24293075372013184
forex,GBPUSD_X,"Donchian Breakout (Turtle 20/10, stop 2xATR)",-0.013136619219603185,0.07604782338226923,-0.13044471695107313,-0.20883477828329822,0.8403887227590809,0.34615384615384615,104,-0.11235641176948341
forex,GBPUSD_X,RSI(2) Mean Reversion (Connors),0.00508115899462247,0.02209821618069224,0.23318943837266415,-0.04707874176768745,1.3143616940869574,0.6458333333333334,48,0.04673997993180157
forex,USDJPY_X,Buy & Hold,0.04032602936218299,0.085859189143186,0.4889736085174434,-0.14749357189349166,,,0,0.42806662299796594
forex,USDJPY_X,Golden Cross (SMA50/SMA200),-0.013109052758606188,0.0834409864200644,-0.11139066407121768,-0.3267303985873634,0.6979025411406787,0.3333333333333333,12,-0.11213291008147319
forex,USDJPY_X,"Donchian Breakout (Turtle 20/10, stop 2xATR)",0.009329739022318151,0.07871464870970626,0.1536050081787652,-0.18526434585678964,1.1527062285865013,0.36082474226804123,97,0.08730172035549821
forex,USDJPY_X,RSI(2) Mean Reversion (Connors),-0.014458912034320481,0.03526166769186526,-0.38226588281279594,-0.14127615857532272,0.598469754187409,0.6170212765957447,47,-0.12301865177151139
