This file was created using the 202606 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
194510,   0.17
194511,   4.31
194512,   1.25
194601,   3.77
194602,  -1.43
194603,   2.70
194604,   3.04
194605,  -0.58
194606,  -2.51
194607,   0.22
194608,  -0.05
194609,   0.70
194610,   0.91
194611,   0.28
194612,   0.09
194701,  -6.32
194702,  -0.49
194703,   4.10
194704,   5.41
194705,   3.37
194706,  -1.84
194707,  -3.38
194708,   3.40
194709,   0.10
194710,   1.56
194711,   4.26
194712,   3.62
194801,  -4.19
194802,   1.41
194803,  -0.34
194804,   4.10
194805,   2.33
194806,   3.98
194807,  -1.61
194808,   0.20
194809,  -1.36
194810,   2.73
194811,   0.58
194812,   4.66
194901,  -2.92
194902,  -0.43
194903,  -0.81
194904,   3.13
194905,   3.06
194906,  -1.29
194907,  -1.47
194908,   1.58
194909,  -1.32
194910,   0.02
194911,   1.22
194912,  -0.82
195001,  -2.36
195002,   1.38
195003,   1.46
195004,   0.27
195005,   0.29
195006,  -1.58
195007,  -0.52
195008,   3.20
195009,  -0.20
195010,   1.51
195011,   3.52
195012,   4.95
195101,   2.32
195102,  -1.95
195103,  -2.93
195104,   5.98
195105,  -0.96
195106,  -2.45
195107,   7.18
195108,   0.63
195109,   0.57
195110,  -0.21
195111,   0.47
195112,   1.75
195201,   1.37
195202,  -0.68
195203,   1.65
195204,  -2.01
195205,   0.56
195206,   1.49
195207,  -0.55
195208,   0.34
195209,   1.73
195210,   2.73
195211,   0.36
195212,   1.54
195301,   0.74
195302,   0.80
195303,   0.14
195304,   1.84
195305,   0.91
195306,   0.00
195307,  -0.37
195308,   2.12
195309,   2.90
195310,   0.25
195311,   1.96
195312,   5.21
195401,  -5.84
195402,   1.04
195403,   2.13
195404,   5.08
195405,  -2.02
195406,   3.55
195407,   0.43
195408,  -0.67
195409,   1.66
195410,   0.92
195411,   1.87
195412,  -1.40
195501,   1.47
195502,   1.04
195503,   0.96
195504,  -0.01
195505,   0.61
195506,   4.72
195507,  -1.22
195508,   1.76
195509,   1.83
195510,  -0.52
195511,   2.57
195512,  -1.26
195601,  -1.48
195602,   2.01
195603,   3.52
195604,   2.67
195605,  -1.60
195606,   2.67
195607,   2.53
195608,  -0.71
195609,  -0.77
195610,   2.40
195611,   3.42
195612,   3.79
195701,  -3.06
195702,   0.36
195703,  -0.24
195704,   1.01
195705,   0.18
195706,   0.72
195707,  -0.07
195708,   0.45
195709,   0.60
195710,   2.03
195711,   1.27
195712,   7.81
195801,  -7.72
195802,   3.72
195803,  -1.65
195804,   1.90
195805,  -1.74
195806,  -0.89
195807,  -3.56
195808,   0.14
195809,  -1.12
195810,   3.11
195811,   1.53
195812,  -0.71
195901,  -0.29
195902,   3.40
195903,   0.22
195904,   3.16
195905,   1.50
195906,   3.14
195907,  -0.35
195908,  -1.00
195909,   0.78
195910,   3.43
195911,   2.29
195912,   1.03
196001,  -3.51
196002,   4.00
196003,   1.41
196004,   2.84
196005,   4.79
196006,   0.89
196007,  -0.70
196008,   1.51
196009,   0.38
196010,   1.26
196011,   3.63
196012,   1.36
196101,  -4.13
196102,   1.00
196103,   4.32
196104,   3.62
196105,  -1.57
196106,   0.30
196107,   0.22
196108,   1.64
196109,   0.79
196110,   3.07
196111,   1.35
196112,  -2.18
196201,  -2.04
196202,  -1.00
196203,   1.89
196204,   2.94
196205,   0.47
196206,   6.40
196207,   0.50
196208,  -0.56
196209,   3.96
196210,   0.79
196211,  -7.21
196212,   5.90
196301,  -2.13
196302,   2.52
196303,   1.58
196304,  -0.10
196305,   0.29
196306,   1.16
196307,   1.01
196308,   1.00
196309,   0.15
196310,   3.13
196311,  -0.78
196312,   1.84
196401,   1.02
196402,   0.33
196403,   0.75
196404,  -0.64
196405,   2.53
196406,   0.47
196407,  -0.37
196408,  -0.25
196409,  -0.39
196410,   0.19
196411,   1.10
196412,  -0.70
196501,  -1.38
196502,   0.24
196503,   0.17
196504,   2.53
196505,   0.56
196506,  -3.18
196507,   4.09
196508,   2.57
196509,   3.29
196510,   3.45
196511,   4.40
196512,  -0.10
196601,   5.28
196602,   4.59
196603,   1.46
196604,   5.88
196605,  -4.71
196606,   3.23
196607,  -1.30
196608,  -2.21
196609,  -1.87
196610,  -5.20
196611,   5.74
196612,   0.99
196701,  -7.00
196702,   3.51
196703,   1.39
196704,   0.52
196705,   0.65
196706,   6.01
196707,  -1.10
196708,  -1.32
196709,   2.39
196710,   3.68
196711,   1.22
196712,   3.20
196801,  -4.45
196802,  -3.34
196803,   3.19
196804,   5.11
196805,   3.75
196806,  -2.09
196807,  -0.89
196808,   1.90
196809,  -0.64
196810,  -1.46
196811,   1.74
196812,   0.34
196901,  -0.14
196902,  -2.52
196903,   4.06
196904,   1.24
196905,   1.77
196906,  -2.31
196907,   1.81
196908,   2.14
196909,   2.43
196910,  -4.36
196911,   3.67
196912,   5.27
197001,   0.58
197002,   0.27
197003,  -0.37
197004,  -0.83
197005,  -2.66
197006,   5.63
197007,  -3.12
197008,  -6.68
197009,  -8.64
197010,   9.46
197011,   2.60
197012,  -2.30
197101,  -6.86
197102,   0.83
197103,  -1.39
197104,   1.34
197105,   0.94
197106,   2.68
197107,  -2.32
197108,   3.44
197109,   2.10
197110,   0.50
197111,   1.51
197112,  -0.62
197201,   0.07
197202,   2.53
197203,   2.94
197204,   2.79
197205,   3.33
197206,   1.90
197207,   2.68
197208,  -5.36
197209,   1.82
197210,   0.70
197211,  -5.08
197212,   4.95
197301,   3.81
197302,   2.22
197303,   3.55
197304,   6.35
197305,   7.19
197306,   4.31
197307, -11.67
197308,   3.59
197309,  -6.98
197310,   6.78
197311,   8.92
197312,  10.16
197401,  -8.92
197402,   0.37
197403,  -1.00
197404,   2.06
197405,  -0.29
197406,   2.32
197407,   3.00
197408,   3.03
197409,   4.24
197410,  -0.52
197411,   2.20
197412,   2.98
197501, -13.80
197502,  -0.58
197503,  -2.07
197504,   1.52
197505,  -0.58
197506,  -0.04
197507,   0.35
197508,  -0.16
197509,   0.40
197510,  -0.22
197511,  -0.50
197512,  -0.10
197601,   4.37
197602,   0.38
197603,   0.23
197604,   0.53
197605,  -1.07
197606,  -0.44
197607,  -0.15
197608,  -0.78
197609,   0.20
197610,  -0.42
197611,   2.81
197612,   0.73
197701,   4.04
197702,   0.34
197703,   0.68
197704,   4.19
197705,   2.01
197706,   1.60
197707,   0.40
197708,  -1.64
197709,   2.09
197710,  -0.12
197711,   2.14
197712,   1.59
197801,  -0.58
197802,   1.96
197803,   1.45
197804,   0.49
197805,   2.78
197806,   2.79
197807,   4.19
197808,   3.01
197809,  -3.19
197810,  -8.42
197811,   5.45
197812,   3.01
197901,  -1.43
197902,  -0.99
197903,   2.91
197904,   0.87
197905,  -0.55
197906,   0.77
197907,  -1.07
197908,  -0.29
197909,   5.28
197910,   2.04
197911,   8.04
197912,   4.72
198001,   7.45
198002,   7.89
198003,  -9.59
198004,  -0.49
198005,  -1.18
198006,   1.58
198007,   0.30
198008,   3.06
198009,   5.43
198010,   7.13
198011,  15.15
198012,  -6.69
198101,  -7.81
198102,  -1.37
198103,   0.82
198104,  -1.08
198105,   3.58
198106,  -5.69
198107,  -2.44
198108,  -1.10
198109,   2.13
198110,   3.83
198111,  -0.20
198112,   1.27
198201,   1.77
198202,   4.87
198203,   2.90
198204,  -0.46
198205,   2.51
198206,   4.88
198207,   4.41
198208,  -3.59
198209,   4.13
198210,   0.00
198211,   5.91
198212,  -0.02
198301,  -1.64
198302,   3.69
198303,   0.88
198304,   1.64
198305,  -1.57
198306,   1.85
198307,  -3.08
198308,  -5.38
198309,  -0.01
198310,  -4.46
198311,  -0.13
198312,   0.82
198401,  -2.57
198402,   0.45
198403,   1.10
198404,   2.14
198405,   1.52
198406,  -0.55
198407,   2.78
198408,  -5.61
198409,   3.64
198410,   3.28
198411,   1.57
198412,   1.40
198501,  -6.77
198502,   1.91
198503,   1.79
198504,   2.95
198505,   4.05
198506,   3.39
198507,  -3.70
198508,   1.78
198509,   1.60
198510,   4.86
198511,  -0.57
198512,  -0.23
198601,   2.95
198602,   2.59
198603,   2.39
198604,  -0.35
198605,   2.06
198606,   4.94
198607,   1.90
198608,  -5.16
198609,  -5.69
198610,   4.47
198611,  -0.25
198612,   0.46
198701,   2.06
198702,  -2.22
198703,   1.67
198704,   0.22
198705,  -0.77
198706,  -0.22
198707,   2.57
198708,  -0.95
198709,   0.81
198710,  -7.72
198711,  -1.23
198712,   5.87
198801,  -7.36
198802,  -1.47
198803,   0.61
198804,   2.20
198805,   0.63
198806,  -3.02
198807,   0.65
198808,   0.36
198809,   0.28
198810,   1.31
198811,   0.20
198812,   0.32
198901,  -0.23
198902,   1.01
198903,   3.49
198904,   1.80
198905,   1.42
198906,   0.40
198907,   5.32
198908,  -0.50
198909,   3.49
198910,   1.36
198911,   2.67
198912,   2.76
199001,  -2.99
199002,  -0.51
199003,   1.73
199004,   2.31
199005,   3.11
199006,   2.51
199007,   6.04
199008,   1.96
199009,   5.72
199010,   6.71
199011,  -5.46
199012,   0.22
199101,  -6.45
199102,  -4.90
199103,   2.74
199104,  -2.33
199105,  -0.10
199106,   0.42
199107,   4.25
199108,   1.58
199109,   1.73
199110,   3.18
199111,   1.18
199112,   8.27
199201,  -2.51
199202,  -0.69
199203,  -0.23
199204,  -2.51
199205,   0.07
199206,  -0.57
199207,   1.53
199208,  -0.48
199209,   1.41
199210,   2.58
199211,  -0.24
199212,   4.46
199301,   4.84
199302,   3.12
199303,   3.72
199304,   0.36
199305,   0.19
199306,   4.54
199307,   3.23
199308,   2.59
199309,   3.43
199310,  -2.69
199311,  -4.80
199312,   2.35
199401,   0.10
199402,  -0.37
199403,  -1.31
199404,   0.34
199405,  -2.07
199406,  -0.88
199407,   0.14
199408,   1.54
199409,   1.33
199410,   1.43
199411,  -0.15
199412,   3.45
199501,  -1.80
199502,  -0.46
199503,   0.42
199504,   1.79
199505,  -0.55
199506,   3.03
199507,   2.52
199508,   0.14
199509,   2.87
199510,   4.18
199511,  -0.72
199512,   2.49
199601,   0.54
199602,   0.56
199603,  -1.85
199604,  -0.94
199605,   1.60
199606,   1.00
199607,  -0.14
199608,  -0.02
199609,   2.66
199610,   3.78
199611,  -2.34
199612,   0.57
199701,   1.87
199702,  -2.08
199703,   0.91
199704,   4.82
199705,  -5.21
199706,   2.59
199707,   3.70
199708,  -2.60
199709,   1.47
199710,  -0.53
199711,   0.41
199712,   3.92
199801,   0.08
199802,  -1.20
199803,   2.14
199804,   0.76
199805,   1.92
199806,   7.31
199807,   3.76
199808,   1.87
199809,  -0.63
199810,  -5.32
199811,   1.13
199812,   8.87
199901,   2.83
199902,  -0.07
199903,  -1.22
199904,  -8.88
199905,  -5.28
199906,   4.65
199907,   1.70
199908,   2.93
199909,   6.40
199910,   5.39
199911,   5.48
199912,  13.12
200001,   1.85
200002,  18.02
200003,  -6.84
200004,  -8.58
200005,  -8.93
200006,  16.60
200007,  -0.16
200008,   5.61
200009,   1.93
200010,  -4.49
200011,  -2.18
200012,   6.65
200101, -25.35
200102,  12.60
200103,   8.62
200104,  -7.96
200105,   2.21
200106,   0.65
200107,   5.46
200108,   5.50
200109,  11.40
200110,  -8.37
200111,  -8.63
200112,   0.04
200201,   3.66
200202,   6.85
200203,  -1.66
200204,   7.65
200205,   3.12
200206,   6.22
200207,   3.63
200208,   1.84
200209,   9.01
200210,  -5.58
200211, -16.45
200212,   9.71
200301,   1.54
200302,   1.20
200303,   1.42
200304,  -9.34
200305, -10.72
200306,  -1.24
200307,  -0.28
200308,  -0.59
200309,  -0.07
200310,   3.99
200311,   1.37
200312,  -5.53
200401,   2.56
200402,  -1.18
200403,   0.20
200404,  -5.33
200405,   1.49
200406,   2.06
200407,  -2.23
200408,  -1.56
200409,   5.48
200410,  -1.43
200411,   3.07
200412,  -2.85
200501,   3.12
200502,   3.43
200503,   0.43
200504,  -0.70
200505,   0.37
200506,   2.08
200507,   0.04
200508,   2.07
200509,   3.46
200510,  -1.18
200511,   0.33
200512,   0.79
200601,   2.53
200602,  -1.81
200603,   1.25
200604,   0.61
200605,  -3.67
200606,   1.55
200607,  -2.04
200608,  -3.37
200609,  -0.98
200610,  -0.27
200611,  -1.03
200612,   0.78
200701,   0.20
200702,  -1.31
200703,   2.59
200704,  -0.25
200705,  -0.34
200706,   0.52
200707,   2.95
200708,  -0.01
200709,   4.43
200710,   5.03
200711,   1.09
200712,   6.56
200801,  -7.74
200802,   6.13
200803,   4.25
200804,  -0.31
200805,   3.38
200806,  12.72
200807,  -5.07
200808,  -4.50
200809,   0.78
200810,   7.84
200811,   7.26
200812,  -5.08
200901,  -2.37
200902,   4.36
200903, -11.80
200904, -34.36
200905, -12.54
200906,   5.39
200907,  -5.61
200908,  -9.08
200909,  -4.83
200910,   2.58
200911,   0.39
200912,   2.97
201001,  -5.29
201002,   3.70
201003,   3.56
201004,   3.19
201005,  -0.18
201006,  -2.71
201007,   1.79
201008,  -0.06
201009,   1.35
201010,   1.50
201011,   2.71
201012,  -3.01
201101,  -0.30
201102,   1.89
201103,   3.42
201104,   0.05
201105,  -0.57
201106,   1.82
201107,   0.20
201108,  -0.26
201109,  -2.36
201110,  -1.45
201111,   3.85
201112,   1.83
201201,  -8.01
201202,  -0.26
201203,   1.32
201204,   3.78
201205,   6.46
201206,  -1.11
201207,   3.00
201208,  -2.34
201209,  -1.14
201210,   0.08
201211,   0.53
201212,  -2.94
201301,  -1.79
201302,   1.24
201303,   1.92
201304,   0.21
201305,  -2.00
201306,   0.58
201307,   1.74
201308,   0.05
201309,   3.04
201310,   0.06
201311,   0.38
201312,   0.02
201401,   1.65
201402,   2.15
201403,  -3.27
201404,  -3.89
201405,   0.88
201406,   0.65
201407,  -0.19
201408,   0.84
201409,   0.64
201410,  -0.27
201411,   0.69
201412,   1.05
201501,   3.72
201502,  -2.89
201503,   2.70
201504,  -7.26
201505,   5.76
201506,   3.00
201507,  10.00
201508,  -2.14
201509,   5.26
201510,  -3.29
201511,   2.30
201512,   3.33
201601,   1.49
201602,  -4.34
201603,  -5.04
201604,  -5.99
201605,   1.45
201606,   4.14
201607,  -3.39
201608,  -3.46
201609,   0.22
201610,   0.55
201611,  -4.70
201612,  -0.26
201701,  -0.92
201702,  -1.53
201703,  -0.96
201704,   0.50
201705,   1.50
201706,  -0.11
201707,   1.64
201708,   3.38
201709,  -1.34
201710,   4.21
201711,  -0.94
201712,  -1.57
201801,   4.06
201802,   3.60
201803,  -1.20
201804,   0.45
201805,   3.91
201806,  -2.28
201807,  -1.43
201808,   5.31
201809,  -0.10
201810,  -2.06
201811,  -1.42
201812,   1.75
201901,  -8.60
201902,   0.77
201903,   2.24
201904,  -2.91
201905,   7.56
201906,  -2.26
201907,   2.93
201908,   7.48
201909,  -6.74
201910,   0.13
201911,  -2.61
201912,  -2.24
202001,   6.02
202002,  -0.24
202003,   8.20
202004,  -5.58
202005,   0.15
202006,  -0.87
202007,   7.69
202008,   0.43
202009,   3.18
202010,  -3.10
202011, -12.60
202012,  -2.27
202101,   4.30
202102,  -7.99
202103,  -6.10
202104,   1.23
202105,   0.56
202106,   2.07
202107,  -2.17
202108,   2.63
202109,   1.43
202110,   3.32
202111,   0.97
202112,  -2.40
202201,  -2.41
202202,   1.65
202203,   2.92
202204,   4.99
202205,   2.52
202206,   1.07
202207,  -4.38
202208,   1.89
202209,   3.71
202210,   3.92
202211,  -1.71
202212,   4.94
202301, -16.21
202302,   0.54
202303,  -2.37
202304,   1.75
202305,  -0.90
202306,  -2.70
202307,  -3.96
202308,   3.91
202309,   0.27
202310,   1.69
202311,   2.53
202312,  -5.48
202401,   5.45
202402,   5.01
202403,  -0.32
202404,  -0.45
202405,   1.45
202406,   0.86
202407,  -2.36
202408,   4.87
202409,  -0.56
202410,   2.92
202411,   0.94
202412,  -0.34
202501,   0.99
202502,  -0.85
202503,  -2.59
202504,   5.01
202505,   2.16
202506,  -2.68
202507,  -0.94
202508,  -3.58
202509,   4.71
202510,   0.19
202511,  -1.71
202512,  -2.34
202601,   4.89
202602,   1.32
202603,   1.57
202604,   9.52
202605,   1.38
202606,   4.76

Annual Factors:
January-December 
,Mom
  1927,  24.52
  1928,  26.43
  1929,  19.76
  1930,  24.09
  1931,  23.17
  1932, -20.51
  1933,  18.82
  1934,  18.71
  1935,  21.03
  1936,   5.88
  1937,  -3.98
  1938,  -3.37
  1939,  -0.23
  1940,   6.21
  1941,  10.05
  1942, -16.66
  1943,  14.45
  1944,   9.61
  1945,  16.16
  1946,   5.80
  1947,  14.89
  1948,  11.48
  1949,   0.49
  1950,  15.02
  1951,  10.98
  1952,   9.09
  1953,  16.20
  1954,  10.24
  1955,  14.05
  1956,  18.99
  1957,   9.71
  1958,  -9.51
  1959,  19.40
  1960,  17.10
  1961,  10.86
  1962,  12.07
  1963,  11.59
  1964,   4.64
  1965,  20.04
  1966,   9.88
  1967,  21.76
  1968,   2.80
  1969,  10.33
  1970,  -4.03
  1971,   3.30
  1972,  15.19
  1973,  29.65
  1974,   8.36
  1975, -19.18
  1976,   7.40
  1977,  18.03
  1978,  11.81
  1979,  26.20
  1980,  36.11
  1981,  -8.09
  1982,  34.00
  1983,  -9.77
  1984,   9.26
  1985,  14.89
  1986,  10.49
  1987,  -3.82
  1988,  -5.64
  1989,  27.16
  1990,  18.58
  1991,  14.28
  1992,   3.33
  1993,  23.60
  1994,   3.15
  1995,  17.72
  1996,   6.28
  1997,  11.27
  1998,  23.32
  1999,  33.89
  2000,  14.93
  2001,   4.65
  2002,  25.50
  2003, -24.67
  2004,  -0.46
  2005,  15.11
  2006,  -7.77
  2007,  21.83
  2008,  13.73
  2009, -83.83
  2010,   6.79
  2011,   7.31
  2012,   1.07
  2013,   7.39
  2014,   0.86
  2015,  20.16
  2016, -21.20
  2017,   4.74
  2018,   9.45
  2019,  -2.08
  2020,   7.36
  2021,  -2.34
  2022,  15.98
  2023, -24.26
  2024,  19.76
  2025,  -2.07

Copyright 2026 Eugene F. Fama and Kenneth R. French
