sector,entry_date,entry_price,entry_price_eur,entry_value_eur,currency,peak,reinforcement_count,ticker,exit_date,exit_price,exit_reason,return_pct,exit_value_eur
Communication Services,2026-05-31,379.8687744140625,325.98820534891223,33.333333333333336,USD,0.0,0,GOOGL,2026-07-23,317.4859313964844,stop_loss,-0.16422208725579512,28.447834895812264
Technology,2026-06-30,2273.72998046875,1990.6506862961508,33.333333333333336,USD,0.0,0,SNDK,2026-07-02,1745.0,stop_loss,-0.23253859737546656,25.681101806511183
Technology,2026-06-30,6388.74658203125,175.53971506699875,33.333333333333336,TWD,0.08655325262552349,0,7769.TW,2026-07-29,5110.009765625,stop_loss,-0.2001545686602717,26.33049476055358
Technology,2026-06-30,1154.112548828125,1010.4255813674365,33.333333333333336,USD,0.0,0,MU,2026-07-02,975.4099731445312,stop_loss,-0.15483981684892578,28.281089618432553
Industrials,2026-06-30,286.2333679199219,250.59732474178116,33.333333333333336,USD,0.0,0,POWL,2026-07-07,233.94651794433597,stop_loss,-0.18267209848927868,27.197274556464958
Industrials,2026-06-30,837.9306030273438,23.02331097543272,33.333333333333336,TWD,0.07482182340513321,0,3167.TW,2026-07-22,699.0,stop_loss,-0.16580203960256845,27.45641403563287
Industrials,2026-06-30,42550.0,230.12314576595242,33.333333333333336,JPY,0.014336075205640508,0,5706.T,2026-07-07,35930.0,stop_loss,-0.15558166862514688,28.06349717496269
Basic Materials,2026-06-30,1857.889892578125,51.04811377028035,33.333333333333336,TWD,0.399437076646171,0,7610.TW,2026-07-20,2170.0,trailing_stop,0.1679917139700735,38.38032440559028
Healthcare,2026-06-30,62.79999923706055,1.725517490909209,33.333333333333336,TWD,0.02388541135223554,0,3054.TW,2026-07-27,53.0,stop_loss,-0.15605094516111417,27.812332745134356
Healthcare,2026-06-30,13.710000038146973,12.003105566401103,33.333333333333336,USD,0.0,0,NNNN,2026-07-08,11.489999771118164,stop_loss,-0.16192562077693917,27.9804838548972
Utilities,2026-06-30,19.905000686645508,19.905000686645508,33.333333333333336,EUR,0.0005023978164715448,0,SLR.MC,2026-07-29,16.524999618530273,stop_loss,-0.1698066290639676,27.673112364534415
Energy,2026-06-30,72.89300537109375,63.817829036252654,33.333333333333336,USD,0.15158633367914875,0,INSW,2026-07-09,78.97456359863281,trailing_stop,0.0834313003912821,36.114376679709416
Communication Services,2026-06-30,5963.0,32.24969020452113,33.333333333333336,JPY,0.10246520207949028,0,9984.T,2026-07-29,4741.0,stop_loss,-0.20493040415898034,26.26523705952463
Healthcare,2026-06-30,79.7300033569336,69.80362103865728,33.333333333333336,USD,0.14172826974276798,0,LQDA,2026-08-28,67.69000244140625,stop_loss,-0.15100966271915128,27.730774061280993
Technology,2026-07-31,1214.8299560546875,1054.2172474927675,33.333333333333336,USD,0.17516034898708144,0,SNDK,2026-08-06,1258.5799560546875,trailing_stop,0.03601327064907389,34.43269638548301
Consumer Cyclical,2026-07-31,22.950000762939453,0.6147652884444618,33.333333333333336,TWD,1.4575163246598146,0,2491.TW,2026-08-31,50.79999923706055,trailing_stop,1.2135075184439361,75.16483695247044
Industrials,2026-07-31,4172.0,22.602665286668564,33.333333333333336,JPY,0.45685522531160117,0,5803.T,2026-08-19,5328.0,trailing_stop,0.2770853307766059,42.54346788416339
Industrials,2026-07-31,486.0,13.018558616629038,33.333333333333336,TWD,0.4506172839506173,0,3167.TW,2026-08-10,655.0,trailing_stop,0.3477366255144032,45.01629168727693
Basic Materials,2026-07-31,8.75,5.419634408119434,33.333333333333336,CAD,0.3005714416503906,0,DSV.TO,2026-08-18,10.829999923706056,trailing_stop,0.23771427699497782,41.46440015134389
Basic Materials,2026-06-30,2740.708984375,31.818021271447154,33.333333333333336,GBp,0.17451360883325262,0,FRES.L,2026-09-10,2959.0,trailing_stop,0.07964764477713415,36.105201934827576
Consumer Cyclical,2026-07-31,7822.40869140625,209.54009479897266,33.333333333333336,TWD,0.8484076414832113,0,2059.TW,2026-09-08,12520.0,trailing_stop,0.6005300277591676,54.392084750092906
Industrials,2026-07-31,208.5877227783203,181.0103330694014,33.333333333333336,USD,0.052904004058520915,0,POWL,2026-09-01,172.13999938964844,stop_loss,-0.174735707850875,27.285960779957666
Industrials,2026-08-31,29345.0,158.14546968816833,33.333333333333336,JPY,0.0,0,5706.T,2026-09-08,24905.0,stop_loss,-0.15130345885159313,29.343064648674222
Consumer Cyclical,2026-08-31,50.79999923706055,1.3862619800989928,33.333333333333336,TWD,0.0,0,2491.TW,2026-09-04,42.0,stop_loss,-0.1732283340398283,27.401850030096085
