sector,entry_date,entry_price,entry_valuation_gap,peak,ticker,unrealized_return_pct
Consumer Cyclical,2026-08-24 05:29:20,44.0,0.258968912864181,0.0,YETI,-0.05681818181818177
Industrials,2026-08-26 12:26:29,122.5500030517578,0.2682149820695687,0.0346797216986201,PRY.MI,0.0346797216986201
Financial Services,2026-08-28 06:26:11,15.75,0.7313295805094131,0.12825399731832832,B3SA3.SA,0.11174604627821183
Consumer Cyclical,2026-08-28 09:57:27,83.55999755859375,0.3314833735286793,0.049126417865858585,BBY,0.049126417865858585
Consumer Cyclical,2026-08-28 13:58:48,79.90499877929688,0.444128840930851,0.00907325555593319,URBN,0.00907325555593319
Industrials,2026-08-28 13:58:48,5393.0,0.2596319034505694,0.05340255887261258,1942.T,0.033562024847023864
Industrials,2026-08-31 01:59:02,1385.0,0.3834787900940559,0.010830324909747224,1590.TW,-0.09025270758122739
Technology,2026-08-31 03:57:53,935.3900146484376,0.7001970297048259,0.11737889246826994,MU,0.11737889246826994
Industrials,2026-09-02 11:02:59,329.5,0.2623547492395104,0.013353547485536854,SAF.PA,0.0018209593429912019
Technology,2026-09-02 14:07:13,13345.0,0.7472318918058933,0.0,7735.T,-0.03596852753840385
Financial Services,2026-09-02 16:04:24,61.40999984741211,0.5469914958481046,0.0008141872200746469,FHI,-0.08011721513060133
Technology,2026-09-02 16:04:24,13.199999809265137,0.5276449240273184,0.016666687136948966,FRSH,-0.046212095870568515
Communication Services,2026-09-02 17:06:32,337.1600036621094,0.4654574243650746,0.02577412014182756,GOOGL,0.02577412014182756
Consumer Cyclical,2026-09-02 17:06:32,103.08499908447266,0.2711036067841856,0.0,LCII,-0.019546970049417745
Industrials,2026-09-02 19:04:39,380.75,0.4190225709129591,0.0034142817937461434,SNA,0.0034142817937461434
Real Estate,2026-09-03 01:05:53,3319.0,0.3474488931003316,0.017475143115396108,1878.T,0.017475143115396108
Technology,2026-09-03 01:05:53,32290.0,0.3157767817566959,0.2105915144007433,6920.T,0.2105915144007433
Industrials,2026-09-03 02:00:52,1035.0,0.5914879436596419,0.033816425120772875,2404.TW,0.0
Consumer Cyclical,2026-09-03 04:01:28,131.5,0.5232793397608859,0.0,9939.TW,-0.04562737642585546
Consumer Defensive,2026-09-03 14:04:37,15.8100004196167,0.5552868874622661,0.0,ABEV3.SA,-0.018342818099688407
Consumer Defensive,2026-09-03 19:06:09,208.52999877929688,0.7444600737375491,0.0,SENEB,-0.09739604698357751
Technology,2026-09-04 19:02:26,15.270099639892578,0.4134761335022308,0.0,PATH,-0.11395471856486383
Financial Services,2026-09-07 06:02:18,1004.9000244140624,0.2676063448434969,0.0,SBIN.NS,-0.01472788184750462
Communication Services,2026-09-09 15:52:00,339.17999267578125,0.4255231494456104,0.0,GOOG,0.0
Communication Services,2026-09-11 01:51:58,20535.0,0.2825770116678456,0.01753104455807164,9766.T,0.01753104455807164
Industrials,2026-09-11 01:51:58,23160.0,0.3221109298515752,0.0,5706.T,-0.060449050086355816
Basic Materials,2026-09-11 05:07:11,80.5999984741211,0.7340767211062773,0.07196033699206672,2006.TW,0.07196033699206672
Technology,2026-09-21 02:52:37,58.400001525878906,0.7088581190037035,0.0,2413.TW,0.0
